,Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
a,2016-03-24,39.16,39.46,38.89,39.45,786809.0,1.0,0,0.0
aa,2016-03-24,9.18,9.61,9.04,9.56,19833532.99999997,1.0,0,0.0
aal,2016-03-24,41.91,41.95,40.19,40.49,11777876.0,1.0,0,0.0
aap,2016-03-24,160.99,162.09,159.81,161.75,674856.0000000015,1.0,0,0.0
aapl,2016-03-24,105.44,106.25,104.89,105.66,23448634.99999994,1.0,0,0.0
abbv,2016-03-24,56.09,56.25,55.67,56.14,4131252.0,1.0,0,0.0
abc,2016-03-24,86.86,87.25,85.9401,86.2,2139906.000000001,1.0,0,0.0
abt,2016-03-24,40.64,40.9,40.36,40.77,3176954.0,1.0,0,0.0
abx,2016-03-24,13.38,13.67,13.24,13.56,12385606.0,1.0,0,0.0
acas,2016-03-24,14.79,15.15,14.7,15.04,1022266.0,1.0,0,0.0
ace,2016-01-14,110.44,112.35,109.81,109.87,7700455.0,1.0,0,0.0
acn,2016-03-24,108.79,114.44,108.62,114.3,6000094.0,1.0,0,0.0
adbe,2016-03-24,91.5,92.74,91.5,92.52,2983679.0,1.0,0,0.0
adi,2016-03-24,58.05,58.65,57.67,58.635,1600409.0,1.0,0,0.0
adm,2016-03-24,36.3,36.73,35.83,36.48,3115133.000000002,1.0,0,0.0
adp,2016-03-24,88.23,88.77,87.77,88.75,892452.0,1.0,0,0.0
ads,2016-03-24,209.42,212.36,207.11,211.78,519443.0,1.0,0,0.0
adsk,2016-03-24,56.96,57.53,56.17,57.36,1056455.0,1.0,0,0.0
adt,2016-03-24,40.97,41.15,40.95,41.1,1183809.0,1.0,0,0.0
aee,2016-03-24,48.82,49.28,48.68,49.24,993100.000000002,1.0,0,0.0
aep,2016-03-24,65.02,65.4,64.765,65.07,3611306.9999999967,1.0,0,0.0
aes,2016-03-24,11.24,11.58,11.16,11.56,5939986.999999997,1.0,0,0.0
aet,2016-03-24,111.37,112.96,111.22,112.41,1862876.0,1.0,0,0.0
afl,2016-03-24,62.94,62.94,62.34,62.69,1529747.999999999,1.0,0,0.0
agn,2016-03-24,279.77,281.28,278.05,279.46,2048891.0,1.0,0,0.0
aig,2016-03-24,52.97,53.06,52.54,52.99,5202678.0000000065,1.0,0,0.0
aiv,2016-03-24,40.26,40.44,39.94,40.38,682300.9999999981,1.0,0,0.0
aiz,2016-03-24,77.67,77.91,76.41,77.18,583913.0,1.0,0,0.0
akam,2016-03-24,54.65,55.13,54.41,54.84,1163597.0,1.0,0,0.0
aks,2016-03-24,3.98,4.17,3.76,4.16,9000982.0,1.0,0,0.0
all,2016-03-24,66.47,66.5,65.94,66.18,1242273.000000002,1.0,0,0.0
alle,2016-03-24,63.23,63.38,62.69,63.15,384737.0000000002,1.0,0,0.0
alxn,2016-03-24,132.88,136.37,130.37,133.19,1102870.0,1.0,0,0.0
amat,2016-03-24,20.05,20.28,19.71,20.15,11406378.0,1.0,0,0.0
amcc,2016-03-24,6.2,6.4,6.15,6.4,339533.0,1.0,0,0.0
amd,2016-03-24,2.69,2.81,2.62,2.79,9791175.0,1.0,0,0.0
ame,2016-03-24,49.09,49.24,48.69,49.08,732725.9999999991,1.0,0,0.0
amg,2016-03-24,156.66,157.55,154.6,157.42,354298.0,1.0,0,0.0
amgn,2016-03-24,148.17,150.96,147.6,149.225,2528331.0,1.0,0,0.0
amp,2016-03-24,91.4,92.01,90.6501,91.97,1519381.0,1.0,0,0.0
amt,2016-03-24,99.4,100.62,98.86,100.35,1226510.0,1.0,0,0.0
amzn,2016-03-24,567.11,583.55,566.13,582.95,4922119.0,1.0,0,0.0
an,2016-03-24,47.85,48.04,47.07,47.985,741720.0,1.0,0,0.0
anf,2016-03-24,30.74,31.54,30.58,31.42,1410744.9999999981,1.0,0,0.0
antm,2016-03-24,138.57,140.0,137.78,139.96,1139141.999999999,1.0,0,0.0
aon,2016-03-24,100.03,101.32,99.67,101.13,2074006.000000001,1.0,0,0.0
apa,2016-03-24,47.01,48.86,46.58,48.85,4253317.999999996,1.0,0,0.0
apc,2016-03-24,44.88,46.5,44.34,46.29,7476686.000000004,1.0,0,0.0
